votes,name,seen,star,date,text
1,Симон,看过,力荐,2020-04-06 22:34:00,Incredible ! Magnificent ! Marvelous ! 如此伟大的历险，为了科学为了使命，怀着无与伦比的勇气与超凡的智慧，完成这一人类历史上的壮举！真的可歌可泣！Felicity Jones的表演实在是无可挑剔！这个故事太精彩了！看完之后唤起我对科研的兴趣，加油！！！
2,老罗Lazzaro,看过,还行,2020-01-06 23:18:12,两人又合作了，这部普通到不入颁奖季。当热忱研究者遇上失意实践者，上演一场高空救赎，抓人的倒是高空壮丽的景象与勇敢的对抗部分。
0,St.Me,看过,还行,2020-11-15 02:35:41,看题材还有开场，就知道是一部无聊平庸之作，满满的科教感。什么梦想啊改变世界啊牺牲自我啊，已经无感了谢谢。作为半伪传记，倒是可以当成科普片看看。
2,Judy,看过,推荐,2019-12-26 12:57:24,Together we've brought stars closer.前一小时剧本太平庸，菲总和小雀斑都无处发挥
0,耿,看过,推荐,2020-01-21 20:40:56,最温柔的惊险！最浪费的研究！
1,Valuska,看过,还行,2019-11-11 19:54:55,6/10
0,小唧唧,看过,较差,2019-12-27 01:32:41,历史上和James Glaisher FRS一起飞上天的哥们Henry Tracey Coxwell惨遭抹掉，为了迎合当下的女权，虚构出了一个Amelia。这样搞法，必须狠狠扣两颗星啊喂！？！最后，必须要致敬勇士们，没有你们的舍命飞天，我们现在就不能先看天气预报再出门。
0,。,看过,推荐,2020-11-17 17:14:38,IMAX看心惊肉跳，紧张得手心直冒汗…然而从影像逻辑上来说本片又恰恰是为了“取悦”而非片中主角所言的其他什么高尚的原由。
1,#地狱少女可可#,看过,推荐,2019-12-26 00:27:09,"Look up,sky lies open.赞美科学"
2,Ms.Pearl,看过,推荐,2019-11-23 02:03:13,纯粹冲着演员去的。最后在电影院里聊了一个小时的微信。怎么说呢，一开始冲着女大法官金斯伯格取得，后来发现，也是万物理论里霍金的老婆？小雀斑和她搭戏倒蛮多了。他挺适合演 那种青年科学家，而她蛮适合演那种 聪明的独立女性。都成stereotype了…
0,喂喂喂二,看过,推荐,2019-12-27 14:12:55,故事简单 场面不错
1,罗洋,看过,还行,2019-12-21 18:50:01,打发时间吧，服装和镜头相当不错
2,当局,看过,推荐,2020-02-26 13:38:34,太克制了，居然连抱团取个暖都没有，这两人有仇吗？
2,月亮,看过,力荐,2020-11-13 23:23:01,在电影院看到的场景让我忍不住打满分，5000m高空的🦋给我太大的惊喜。
0,#墙头鸡蛋花#,看过,还行,2020-11-14 12:43:42,没有意外的拍摄和剧情走向，无功无过的无聊。活在这世界，爱的人或者爱的事，总要遇见一个
0,西瓜大侠女,看过,推荐,2020-11-17 23:07:23,近期院线难得的可看的IMAX了！真实改编的力量总是更大，可惜电影中女武神一般的女勇士飞行家过于夸张了，真实生活中并不存在（尽管有女热气球飞行家）。原型是James Glaisher和Henry Coxwell两位上了年纪的男性，他们科研的精神值得敬佩。就电影本身来说还是有很强的观赏性的！一定要IMAX，尽管2D有恐高症的人还是会有不适。我就手心一次次出汗，搭上坐得过近了F排略仰。暴风雨那段一看鲜肉居然睡着了！比剧情还惊到我了。其实剧情后面挺不仅推敲的，已经有过一次，每次下降都还要过速玩儿命？而且小雀斑能想到的那夫妻俩想不到只能自己跳球？？上映才第5天英皇IMAX海报就说发完了！英皇影城英皇中心店1号IMAX厅with肉 晚间19点多黄金时间总共才六七人影院看来还是不行 需要国外佳片大片救市
0,捉҉依҉茵,看过,推荐,2020-01-07 13:48:48,多希望这个故事是中国人设。。。以前没机会，但现在仍然不去用，就如基因编辑婴的贺工，最终落得布鲁诺一般下场----当然不是说给烧S。。。
1,褪色的蝴蝶结,看过,推荐,2020-01-01 23:57:26,居然没有爱情，但还是如此的惊心动魄，跟着心跳加速手心冒汗。二度合作还是好般配！
